Property ID,Construction year,Neighbourhood or locality,Type of building,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace surface,Terrace surface,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Heating type,Price,Monthly charges,Cadastral income,Surface of the plot,Garden,Garden surface,Terrace,Terrace surface,Terrace surface
10579769,None,None,None,As new,None,54  m² square meters,Hyper equipped,1.0,None,None,1.0,None,No,10  m²  square meters,10  m²  square meters,None,None,None,77.34  kWh/m²  kilowatt hour per square meters,A,Gas,"€ 215,000  215000 €",None,None,None,None,None,None,10  m²  square meters,10  m²  square meters
10579768,None,None,None,Good,None,52  m² square meters,Installed,1.0,None,None,1.0,None,No,None,None,Yes,None,No,551  kWh/m²  kilowatt hour per square meters,F,Gas,"€ 178,000  178000 €",None,€ 711  711 €,None,None,None,Yes,None,None
10579766,2013.0,None,None,As new,4.0,400  m² square meters,Hyper equipped,4.0,4.0,4.0,5.0,Yes,No,None,None,No,Yes,No,69  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 3,350,000  3350000 €",None,None,1400  m²  square meters,None,None,Yes,None,None
10579764,1954.0,None,None,None,4.0,192  m² square meters,Installed,3.0,2.0,None,None,None,No,None,None,No,No,No,346  kWh/m²  kilowatt hour per square meters,E,None,"€ 820,000  820000 €",None,"€ 3,842  3842 €",3190  m²  square meters,None,None,Yes,None,None
10516606,None,None,None,To be done up,2.0,72  m² square meters,Not installed,1.0,1.0,1.0,1.0,None,No,None,None,None,None,None,691  kWh/m²  kilowatt hour per square meters,G,None,"€ 57,500  57500 €",None,None,64  m²  square meters,None,None,None,None,None
10579762,None,None,None,None,2.0,60  m² square meters,Installed,1.0,1.0,None,1.0,Yes,None,None,None,None,None,None,324  kWh/m²  kilowatt hour per square meters,D,Fuel oil,"Make an offer starting from  € 125,000  Make an offer starting from  125000 €",None,None,None,None,None,None,None,None
10579761,None,None,None,None,4.0,None,Installed,3.0,1.0,None,1.0,None,None,None,None,None,None,None,Not specified,Not specified,None,"€ 259,000  259000 €",None,€ 547  547 €,207  m²  square meters,None,None,None,None,None
10579756,None,None,None,None,4.0,200  m² square meters,None,6.0,1.0,1.0,2.0,None,None,None,None,None,None,None,Not specified,Not specified,None,"Make an offer starting from  € 280,000  Make an offer starting from  280000 €",None,None,326  m²  square meters,None,None,Yes,None,None
10579755,1930.0,None,None,To be done up,2.0,121  m² square meters,None,5.0,3.0,3.0,3.0,None,No,None,None,None,None,None,563  kWh/m²  kilowatt hour per square meters,G,None,"€ 225,000  225000 €",None,None,296  m²  square meters,None,None,None,None,None
10579754,None,None,None,Good,3.0,109  m² square meters,None,2.0,2.0,None,None,None,No,None,None,No,No,No,267  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 368,000  368000 €",None,None,None,None,None,None,None,None
10579750,None,None,None,Good,None,207  m² square meters,Semi equipped,6.0,None,None,1.0,None,No,None,None,None,None,None,332  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 185,000  185000 €",None,None,None,None,None,None,None,None
10579749,None,None,None,Good,None,372  m² square meters,Installed,5.0,None,None,2.0,Yes,No,None,None,No,None,Yes,350  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 619,000  619000 €",None,"€ 1,437  1437 €",249  m²  square meters,Yes,None,Yes,None,None
10579748,None,None,None,Good,2.0,72  m² square meters,Hyper equipped,1.0,1.0,None,1.0,Yes,No,None,None,None,None,None,501  kWh/m²  kilowatt hour per square meters,G,None,"€ 240,000  240000 €",None,None,None,None,None,None,None,None
10579742,2013.0,None,None,As new,4.0,200  m² square meters,USA hyper equipped,4.0,2.0,1.0,2.0,Yes,No,None,None,No,No,No,387  kWh/m²  kilowatt hour per square meters,E,Electric,"€ 589,000  589000 €",None,"€ 2,717  2717 €",None,None,100  m²  square meters,Yes,None,None
10515442,None,None,None,To be done up,2.0,115  m² square meters,Not installed,1.0,2.0,1.0,2.0,Yes,No,None,None,None,None,None,652  kWh/m²  kilowatt hour per square meters,G,None,"€ 59,500  59500 €",None,None,50  m²  square meters,None,None,None,None,None
10539323,None,None,None,To be done up,2.0,150  m² square meters,Not installed,2.0,2.0,2.0,2.0,Yes,No,None,None,None,No,None,691  kWh/m²  kilowatt hour per square meters,G,None,"€ 117,000  117000 €",None,None,120  m²  square meters,None,None,None,None,None
