Property ID,Neighbourhood or locality,Type of building,Construction year,Price (€),Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Elevator,Basement,Building condition,Cadastral income (€),Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale
10157775,,,1988.0,570000,3.0,170.0,USA hyper equipped,0,0.0,1.0,25.0,1.0,500.0,684.0,4.0,0,0,0,Good,2449.0,276.0,,D,Pellet,8,4
10540622,,Villa,1976.0,575000,4.0,180.0,,0,1.0,1.0,1.0,1.0,600.0,818.0,4.0,0,0,1,,2074.0,294.0,,C,Fuel oil,0,0
10227535,Zone Province de Namur,,,575000,13.0,750.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,5467.0,3.0,0,0,0,Good,3023.0,336.0,62.0,D,Gas,8,4
10482375,Brabant Wallon,,1995.0,595000,6.0,340.0,Installed,0,0.0,1.0,0.0,0.0,0.0,1766.0,4.0,1,0,0,As new,1850.0,173.0,,C,Fuel oil,3,6
10551382,,,,595000,3.0,327.0,Semi equipped,0,0.0,1.0,0.0,1.0,0.0,1982.0,4.0,0,0,1,Good,2000.0,382.0,,D,Fuel oil,2,4
10498943,,,,595000,2.0,400.0,Semi equipped,0,1.0,1.0,0.0,1.0,15264.0,15264.0,4.0,0,0,1,Good,,442.0,61.0,F,Fuel oil,2,4
10542670,,,1970.0,599000,4.0,220.0,Hyper equipped,0,0.0,1.0,30.0,1.0,650.0,751.0,4.0,0,0,1,Good,1908.0,315.0,78.0,D,Fuel oil,4,4
10515296,,,1977.0,620000,4.0,153.0,Hyper equipped,0,0.0,1.0,20.0,1.0,750.0,859.0,4.0,0,0,1,Good,3356.0,334.0,62.0,D,Gas,4,4
10506686,,,1989.0,625000,4.0,193.0,Installed,0,0.0,1.0,0.0,1.0,638.0,638.0,4.0,0,0,0,To be done up,3321.0,419.0,77.0,E,Gas,3,1
10485307,,,1995.0,645000,5.0,300.0,Hyper equipped,0,1.0,1.0,0.0,0.0,0.0,731.0,4.0,0,0,1,,,229.0,,C,Fuel oil,4,0
10543399,,,2001.0,650000,4.0,500.0,Installed,0,1.0,1.0,0.0,0.0,0.0,2975.0,4.0,0,0,1,,1888.0,245.0,,C,Fuel oil,3,0
10346940,,,1948.0,675000,4.0,160.0,Hyper equipped,0,0.0,1.0,20.0,1.0,500.0,600.0,4.0,0,0,1,Good,2744.0,498.0,100.0,E,Gas,4,4
10532088,,,1963.0,685000,4.0,213.0,Installed,0,0.0,1.0,21.0,1.0,1521.0,2177.0,4.0,0,0,1,To be done up,1481.0,519.0,,F,Fuel oil,3,1
10513167,,,1989.0,698000,2.0,210.0,Installed,0,0.0,1.0,0.0,1.0,1360.0,1920.0,4.0,0,0,0,Good,,280.0,,C,Gas,3,4
10549998,,,1978.0,699000,4.0,440.0,Installed,0,0.0,1.0,0.0,1.0,0.0,1671.0,4.0,1,0,0,Good,2693.0,403.0,,E,,3,4
