,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
11401,Good,400,USA hyper equipped,4,4,"€ 3,350,000  3350000 €",house,villa,for sale,None,4,0.0,1400,700,0.0,None
11403,Good,219,None,3,1,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",house,house,for sale,None,3,0.0,349,None,None,None
11404,As new,135,USA hyper equipped,3,2,"€ 475,000  475000 €",apartment,apartment,for sale,None,2,0.0,None,17,0.0,None
11406,To be done up,154,Hyper equipped,4,1,"€ 595,000  595000 €",house,house,for sale,None,3,0.0,294,100,None,None
11407,Good,215,Hyper equipped,5,2,"Make an offer starting from  € 399,000  Make an offer starting from  399000 €",house,house,for sale,Liège,4,0.0,1240,730,0.0,None
11412,As new,145,Installed,3,1,"€ 459,000  459000 €",house,house,for sale,Watertoren,3,0.0,327,None,None,1.0
11413,As new,159,Hyper equipped,3,1,"€ 245,000  245000 €",apartment,apartment,for sale,Jupille-sur-Meuse,2,0.0,None,None,0.0,None
11414,To be done up,170,Semi equipped,4,1,"Make an offer starting from  € 229,500  Make an offer starting from  229500 €",house,house,for sale,None,3,None,534,None,None,None
11415,Good,291,USA installed,3,2,"€ 360,000  360000 €",house,mixed use building,for sale,Braine-l'Alleud-Lillois-Ophain,2,0.0,140,10,0.0,None
11416,As new,187,Installed,3,1,"€ 720,000  720000 €",house,villa,for sale,None,4,None,2314,1514,None,None
11419,Good,314,USA hyper equipped,4,3,"€ 1,280,000  1280000 €",apartment,penthouse,for sale,None,3,0.0,None,None,0.0,None
11420,As new,102,USA hyper equipped,3,1,"€ 325,000  325000 €",house,house,for sale,None,2,None,108,None,None,1.0
11421,Good,187,Installed,3,1,"€ 289,000  289000 €",house,house,for sale,None,2,None,193,43,None,1.0
11422,As new,500,Installed,4,2,"€ 795,000  795000 €",house,house,for sale,None,None,0.0,650,None,0.0,1.0
11424,As new,184,None,3,2,"€ 399,000  399000 €",house,villa,for sale,None,1,0.0,1000,1000,None,None
11426,None,181,Installed,3,1,"€ 475,000  475000 €",house,house,for sale,None,3,None,674,None,None,1.0
11427,Good,115,Installed,2,1,"Make an offer starting from  € 169,900  Make an offer starting from  169900 €",house,house,for sale,Wallonne,2,0.0,250,40,0.0,None
11429,Good,103,Semi equipped,4,1,"€ 169,500  169500 €",house,house,for sale,Liège,2,0.0,126,None,0.0,None
11430,Good,181,Installed,3,1,"€ 349,000  349000 €",house,mixed use building,for sale,None,2,None,122,23,None,None
11431,To renovate,135,None,4,1,"€ 249,000  249000 €",house,house,for sale,None,3,0.0,753,400,None,None
11432,Good,142,None,2,1,"€ 150,000  150000 €",house,house,for sale,None,4,None,584,None,None,1.0
11433,To restore,250,Installed,5,3,"€ 770,000  770000 €",house,villa,for sale,Quartier Plateau de l'Ange,4,0.0,2473,1800,None,None
11434,Good,300,Installed,5,4,"€ 900,000  900000 €",house,apartment block,for sale,bruxelles,2,0.0,105,20,0.0,None
11435,As new,185,None,4,1,"€ 349,000  349000 €",house,house,for sale,Zone Nord Province du Luxembourg,4,0.0,1188,None,0.0,None
11436,As new,233,Hyper equipped,4,None,"€ 575,000  575000 €",house,house,for sale,None,3,0.0,1117,None,None,1.0
11437,As new,87,None,2,1,"€ 329,000  329000 €",apartment,ground floor,for sale,Antwerpen,None,0.0,None,58,None,None
11438,Good,123,Semi equipped,2,1,"€ 360,000  360000 €",house,house,for sale,None,2,None,80,None,None,None
11439,As new,110,USA hyper equipped,2,1,"€ 308,000  308000 €",apartment,apartment,for sale,None,3,0.0,None,None,None,None
11440,Good,61,Installed,2,1,"Make an offer starting from  € 125,000  Make an offer starting from  125000 €",house,house,for sale,Grand Liège,2,0.0,50,None,0.0,None
11441,As new,93,USA hyper equipped,2,1,"€ 495,000  495000 €",apartment,apartment,for sale,Est de Bruxelles + VL,None,0.0,None,None,0.0,None
11442,None,315,Hyper equipped,1,None,"€ 380,000  380000 €",house,house,for sale,None,None,1.0,678,None,None,1.0
11443,Good,90,Not installed,3,1,"€ 144,500  144500 €",house,house,for sale,Liège,2,0.0,60,None,0.0,None
11444,Good,153,Hyper equipped,3,1,"€ 495,000  495000 €",house,house,for sale,None,2,0.0,80,20,0.0,None
11448,To renovate,178,None,3,None,"€ 189,000  189000 €",house,mixed use building,for sale,Regio Tienen,3,0.0,130,14,None,None
11449,Good,104,None,2,1,"€ 259,000  259000 €",apartment,duplex,for sale,None,3,0.0,None,None,0.0,None
11450,To be done up,292,None,6,2,"Make an offer starting from  € 795,000  Make an offer starting from  795000 €",house,house,for sale,Brabant Wallon,4,0.0,12730,None,1.0,1.0
11451,As new,98,USA hyper equipped,2,2,"€ 390,000  390000 €",apartment,apartment,for sale,1 - Bruxelles Est,2,0.0,None,None,0.0,None
11453,To be done up,105,Installed,3,None,"€ 145,500  145500 €",house,house,for sale,None,3,0.0,138,25,None,None
11454,As new,None,Not installed,2,2,"€ 698,000  698000 €",apartment,penthouse,for sale,Gent en omstreken,4,0.0,None,None,0.0,None
11456,Good,104,Installed,2,1,"€ 219,500  219500 €",house,house,for sale,Liège,2,0.0,95,None,0.0,None
11457,To renovate,161,Installed,3,1,"€ 189,000  189000 €",house,house,for sale,Oost- Vlaanderen,3,0.0,363,250,0.0,1.0
11459,Good,265,None,5,1,"Make an offer starting from  € 225,000  Make an offer starting from  225000 €",house,house,for sale,None,3,None,355,135,None,None
11460,As new,140,Installed,2,1,"€ 190,000  190000 €",house,house,for sale,None,4,None,300,None,None,None
11461,None,353,None,5,1,"Make an offer starting from  € 595,000  Make an offer starting from  595000 €",house,villa,for sale,None,4,0.0,4119,None,1.0,None
11462,To be done up,90,USA installed,3,1,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",apartment,apartment,for sale,Bruxelles,None,0.0,None,None,None,None
11463,As new,180,None,3,2,"€ 540,000  540000 €",apartment,apartment,for sale,Antwerpen centrum,2,None,None,None,None,1.0
11464,Good,134,None,3,1,"€ 359,000  359000 €",house,house,for sale,None,3,None,550,330,0.0,None
11465,As new,89,Installed,2,1,"€ 259,000  259000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11468,Good,150,Hyper equipped,2,2,"€ 279,000  279000 €",apartment,apartment,for sale,None,3,None,None,None,None,1.0
11469,As new,168,Hyper equipped,3,1,"€ 449,000  449000 €",house,house,for sale,Oost- Vlaanderen,3,None,480,150,0.0,None
11470,As new,235,None,4,2,"€ 398,000  398000 €",house,house,for sale,Regio Tienen,3,0.0,566,400,0.0,None
11471,As new,150,USA hyper equipped,3,2,"€ 699,000  699000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
11472,Good,130,None,3,1,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",house,house,for sale,None,4,0.0,2215,None,0.0,None
11473,Good,739,Semi equipped,12,5,"€ 1,299,000  1299000 €",house,apartment block,for sale,None,None,None,710,None,None,1.0
11474,None,214,Installed,4,1,"€ 440,000  440000 €",house,house,for sale,None,4,0.0,1744,None,None,1.0
11475,To be done up,195,Installed,3,2,"€ 299,000  299000 €",house,house,for sale,None,4,0.0,820,520,None,None
11476,As new,133,USA hyper equipped,2,2,"€ 585,000  585000 €",apartment,ground floor,for sale,SPA - THEUX - JALHAY,3,0.0,None,None,1.0,None
11477,Just renovated,310,Hyper equipped,5,3,"€ 1,180,000  1180000 €",house,villa,for sale,None,4,None,15797,None,None,None
11478,To be done up,165,Installed,4,1,"€ 189,000  189000 €",house,house,for sale,None,2,None,200,None,None,None
11480,To renovate,220,Installed,4,None,"€ 399,900  399900 €",house,house,for sale,None,2,None,151,32,None,None
11481,As new,240,Installed,4,2,"€ 550,000  550000 €",house,villa,for sale,None,4,None,4083,2000,None,None
11482,Good,116,Installed,2,1,"€ 270,000  270000 €",apartment,apartment,for sale,None,None,0.0,None,None,None,1.0
11483,As new,161,USA hyper equipped,3,1,"€ 319,000  319000 €",apartment,duplex,for sale,Oost- Vlaanderen,2,None,None,None,None,None
11485,As new,700,Installed,5,5,"€ 3,000,000  3000000 €",house,mansion,for sale,None,2,0.0,300,None,0.0,None
11487,Just renovated,71,USA semi equipped,1,1,"€ 365,000  365000 €",apartment,ground floor,for sale,None,2,0.0,None,124,0.0,None
11488,As new,192,Installed,4,2,"€ 475,000  475000 €",house,villa,for sale,None,4,0.0,4473,None,0.0,None
11490,To renovate,118,None,2,1,"€ 95,000  95000 €",house,house,for sale,None,3,None,373,283,None,None
11498,Good,160,Installed,3,1,"€ 590,000  590000 €",house,villa,for sale,None,4,0.0,2130,None,None,1.0
11499,Good,237,Installed,3,None,"€ 285,000  285000 €",house,house,for sale,None,None,0.0,198,None,None,1.0
11500,Good,121,None,3,1,"€ 325,000  325000 €",house,house,for sale,None,2,0.0,75,18,None,1.0
11501,To be done up,92,USA installed,3,1,"€ 249,000  249000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
11502,None,190,Installed,5,2,"€ 375,000  375000 €",house,house,for sale,None,4,0.0,1186,None,None,1.0
11503,Good,325,Installed,3,1,"€ 645,000  645000 €",house,house,for sale,None,2,None,671,None,None,None
11504,None,150,Installed,4,1,"€ 229,000  229000 €",house,house,for sale,Zone Centre Province du Luxembourg,2,0.0,None,30,0.0,None
11506,Good,170,Installed,3,1,"Make an offer starting from  € 329,000  Make an offer starting from  329000 €",house,house,for sale,None,4,0.0,1700,1500,None,None
11507,As new,131,Hyper equipped,3,None,"€ 265,000  265000 €",house,house,for sale,None,2,0.0,170,None,None,None
11508,Good,121,Hyper equipped,3,1,"€ 349,000  349000 €",apartment,apartment,for sale,Bruxelles,2,None,None,None,0.0,None
11509,Good,78,Semi equipped,2,1,"€ 159,000  159000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11510,As new,100,Hyper equipped,1,1,"€ 420,000  420000 €",apartment,apartment,for sale,None,None,1.0,None,1,0.0,None
11511,To renovate,273,Semi equipped,4,1,"€ 370,000  370000 €",house,apartment block,for sale,Sur le mont,4,None,1121,848,None,None
11512,Good,106,Installed,2,1,"€ 265,000  265000 €",apartment,duplex,for sale,None,4,0.0,None,None,0.0,None
11514,As new,199,USA hyper equipped,3,2,"€ 1,450,000  1450000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11515,Good,300,None,6,1,"€ 575,000  575000 €",house,house,for sale,Brabant Wallon,4,None,1100,955,None,None
11516,As new,156,Installed,3,1,"€ 455,000  455000 €",apartment,apartment,for sale,Liège,2,0.0,None,None,0.0,None
11517,Just renovated,177,None,3,2,"€ 390,000  390000 €",house,house,for sale,None,None,None,525,None,0.0,1.0
11518,To renovate,200,Installed,2,1,"€ 195,000  195000 €",house,house,for sale,None,2,0.0,320,150,None,None
11519,Good,184,Semi equipped,4,1,"Make an offer starting from  € 189,900  Make an offer starting from  189900 €",house,house,for sale,Charleroi,3,0.0,580,480,0.0,None
11520,Good,102,Installed,2,1,"€ 305,000  305000 €",apartment,penthouse,for sale,None,2,None,None,None,None,1.0
11521,To be done up,185,Installed,3,1,"€ 199,000  199000 €",house,house,for sale,None,3,0.0,317,None,None,None
11522,Good,135,Installed,3,1,"€ 399,000  399000 €",apartment,apartment,for sale,Place Keym,4,None,None,None,None,None
11524,To be done up,197,Installed,4,1,"€ 395,000  395000 €",house,house,for sale,None,2,0.0,1480,1200,None,None
11525,Just renovated,386,Installed,5,3,"€ 4,995,000  4995000 €",house,house,for sale,None,4,0.0,1801,None,None,1.0
11526,To renovate,252,Installed,6,1,"€ 900,000  900000 €",house,house,for sale,1 - Bruxelles Sud,4,0.0,400,250,None,None
11527,To renovate,560,Hyper equipped,6,4,"€ 3,100,000  3100000 €",house,villa,for sale,Bruxelles Est,4,0.0,3400,None,0.0,1.0
11528,As new,159,USA hyper equipped,2,1,"€ 710,000  710000 €",apartment,duplex,for sale,None,2,0.0,None,70,0.0,None
11529,None,158,Installed,3,1,"€ 357,000  357000 €",house,house,for sale,None,None,None,174,None,None,1.0
11530,To renovate,350,Semi equipped,6,3,"€ 780,000  780000 €",house,town house,for sale,None,2,0.0,256,100,0.0,None
11534,Good,111,Installed,3,1,"Make an offer starting from  € 209,000  Make an offer starting from  209000 €",house,house,for sale,GRAND VERVIERS,2,0.0,195,133,0.0,None
11535,Good,218,None,3,2,"€ 349,000  349000 €",house,house,for sale,None,4,0.0,1371,None,None,1.0
11536,Good,136,Installed,3,1,"€ 369,900  369900 €",house,house,for sale,None,2,0.0,71,None,None,None
11537,None,160,Semi equipped,2,1,"€ 185,000  185000 €",house,mixed use building,for sale,None,None,None,90,None,None,1.0
11539,As new,43,None,1,1,"€ 595,500  595500 €",apartment,penthouse,for sale,Projets Bruxelles Est,2,1.0,None,None,None,None
11540,As new,128,USA hyper equipped,3,2,"€ 410,000  410000 €",apartment,apartment,for sale,R Bruxelles Centre,None,0.0,None,None,0.0,None
11545,As new,540,Hyper equipped,5,3,"€ 2,350,000  2350000 €",house,house,for sale,None,2,0.0,170,None,0.0,1.0
11546,As new,73,Installed,1,1,"€ 187,500  187500 €",apartment,apartment,for sale,None,2,None,None,None,None,1.0
11547,Good,191,Installed,5,2,"€ 399,000  399000 €",apartment,apartment,for sale,Het Rooi,4,None,None,None,None,None
11548,To renovate,315,Semi equipped,2,1,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",house,house,for sale,None,2,0.0,410,275,0.0,None
11549,As new,104,Hyper equipped,2,2,"€ 510,000  510000 €",apartment,ground floor,for sale,None,2,0.0,None,40,0.0,None
11552,To be done up,157,Not installed,4,1,"€ 240,000  240000 €",house,house,for sale,GRAND VERVIERS,3,0.0,3097,2983,0.0,1.0
11553,Just renovated,164,USA hyper equipped,3,1,"€ 459,000  459000 €",house,house,for sale,None,2,0.0,137,50,0.0,None
11554,Just renovated,93,Installed,2,1,"€ 280,000  280000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
11555,Good,99,Installed,2,1,"€ 259,000  259000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
11556,To be done up,68,USA semi equipped,2,1,"€ 249,000  249000 €",apartment,apartment,for sale,Brussel,2,0.0,None,None,None,None
11557,To renovate,182,Installed,3,2,"Make an offer starting from  € 430,000  Make an offer starting from  430000 €",house,house,for sale,None,3,0.0,660,450,None,None
11559,Good,147,None,2,2,"€ 825,000  825000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11560,As new,230,Hyper equipped,3,2,"€ 935,000  935000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
11562,As new,65,USA hyper equipped,1,1,"€ 250,000  250000 €",apartment,penthouse,for sale,None,2,1.0,None,None,0.0,None
11563,Good,105,Installed,2,1,"€ 179,000  179000 €",house,house,for sale,torhout,2,None,54,None,None,None
11565,Good,104,Installed,3,None,"€ 249,000  249000 €",house,house,for sale,None,None,0.0,122,None,None,1.0
11566,To be done up,110,Semi equipped,2,1,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",house,house,for sale,None,3,0.0,211,None,None,1.0
11567,To renovate,150,Not installed,4,1,"€ 210,000  210000 €",house,house,for sale,None,2,0.0,220,None,None,None
11568,As new,148,USA hyper equipped,3,2,"€ 450,000  450000 €",apartment,penthouse,for sale,1 - Bruxelles Centre,3,0.0,None,None,0.0,None
11570,To be done up,130,Semi equipped,3,1,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",house,house,for sale,None,4,None,768,768,None,None
11572,Good,230,Not installed,5,2,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",house,house,for sale,Liège environs,3,0.0,432,339,0.0,None
11573,To be done up,510,None,4,3,"€ 610,000  610000 €",house,villa,for sale,None,4,None,1806,None,None,1.0
11574,To be done up,102,Installed,2,1,"€ 139,500  139500 €",house,town house,for sale,None,2,0.0,135,None,0.0,None
11575,As new,280,Hyper equipped,4,2,"€ 659,000  659000 €",house,house,for sale,Brussel,2,0.0,None,85,None,None
11576,Good,150,Installed,3,1,"€ 350,000  350000 €",apartment,apartment,for sale,Belgium,2,0.0,None,None,0.0,None
11579,To be done up,150,Semi equipped,4,None,"€ 279,000  279000 €",house,house,for sale,None,4,None,512,None,None,1.0
11580,As new,81,Installed,3,1,"€ 285,000  285000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11581,None,80,Installed,2,1,"€ 295,000  295000 €",apartment,apartment,for sale,None,None,0.0,None,None,None,1.0
11582,To renovate,234,Not installed,2,1,"€ 299,000  299000 €",house,house,for sale,None,None,0.0,2853,None,0.0,1.0
11583,None,204,USA installed,4,2,"Make an offer starting from  € 475,000  Make an offer starting from  475000 €",house,house,for sale,None,None,None,5135,5000,None,None
11584,Good,400,None,8,4,"Make an offer starting from  € 400,000  Make an offer starting from  400000 €",house,house,for sale,None,2,0.0,2651,None,0.0,1.0
11585,As new,375,Installed,8,7,"€ 819,000  819000 €",house,house,for sale,None,4,None,1186,None,None,1.0
11587,As new,165,Installed,4,1,"€ 575,000  575000 €",house,house,for sale,Bruxelles,2,0.0,None,42,None,None
11588,To be done up,280,USA installed,5,1,"€ 850,000  850000 €",house,mansion,for sale,None,2,None,675,500,None,None
11590,Good,210,Installed,3,1,"€ 399,000  399000 €",house,town house,for sale,None,3,None,331,190,0.0,None
11592,Good,178,Installed,3,2,"€ 449,000  449000 €",house,house,for sale,None,3,0.0,389,None,0.0,None
11594,Just renovated,95,USA hyper equipped,3,2,"€ 2,195,000  2195000 €",apartment,apartment,for sale,None,3,1.0,None,None,0.0,None
11595,To renovate,142,Not installed,3,1,"Make an offer starting from  € 149,900  Make an offer starting from  149900 €",house,house,for sale,Wallonne,2,0.0,590,520,0.0,None
11596,To be done up,107,Semi equipped,2,None,"€ 140,000  140000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
11599,As new,124,Not installed,5,1,"€ 375,000  375000 €",house,house,for sale,Gent,2,0.0,76,None,None,None
11600,Good,246,USA hyper equipped,3,1,"Make an offer starting from  € 625,000  Make an offer starting from  625000 €",apartment,apartment,for sale,Oost-Vlaanderen,4,0.0,None,None,0.0,None
11601,To be done up,None,Installed,2,1,"€ 115,000  115000 €",house,house,for sale,Liège,3,0.0,354,163,0.0,None
11604,As new,250,Hyper equipped,4,1,"€ 790,000  790000 €",house,villa,for sale,None,4,None,1135,None,None,None
11605,As new,95,USA installed,2,1,"€ 242,000  242000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11606,Good,160,Hyper equipped,3,1,"€ 249,000  249000 €",house,house,for sale,None,2,0.0,300,200,None,1.0
11609,Good,99,Semi equipped,2,1,"€ 180,000  180000 €",house,house,for sale,None,3,None,300,None,None,None
11610,Good,220,Installed,7,3,"€ 725,000  725000 €",house,house,for sale,None,2,1.0,74,None,0.0,None
11611,As new,244,Installed,4,3,"€ 1,680,000  1680000 €",house,exceptional property,for sale,None,4,None,3200,1800,0.0,None
11612,Good,70,Installed,2,1,"€ 150,000  150000 €",house,house,for sale,None,2,0.0,50,None,None,None
11613,Good,350,Hyper equipped,5,2,"€ 2,100,000  2100000 €",house,exceptional property,for sale,None,4,0.0,1442,None,0.0,1.0
11614,Just renovated,220,Hyper equipped,3,3,"€ 995,000  995000 €",apartment,duplex,for sale,Projets Bruxelles Est,2,0.0,None,None,0.0,None
11616,As new,None,USA hyper equipped,3,1,"€ 1,360,000  1360000 €",apartment,penthouse,for sale,Projets Bruxelles Sud,4,0.0,None,None,0.0,None
11619,To renovate,180,None,2,1,"€ 465,000  465000 €",house,villa,for sale,Quartier Plateau de l'Ange,4,0.0,691,400,None,None
11621,Just renovated,180,Installed,4,2,"Make an offer starting from  € 695,000  Make an offer starting from  695000 €",house,exceptional property,for sale,None,4,None,1521,None,None,None
11624,To renovate,1342,Not installed,7,4,"€ 1,100,000  1100000 €",house,exceptional property,for sale,None,4,None,86333,None,None,None
11625,Good,76,Installed,2,1,"€ 174,000  174000 €",house,mixed use building,for sale,Nieuw Borgerhout,2,None,76,None,None,None
11626,As new,160,Installed,3,1,"€ 299,000  299000 €",house,house,for sale,None,None,None,543,None,0.0,1.0
11630,As new,65,USA hyper equipped,2,1,"€ 1,095,000  1095000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11631,None,172,Installed,3,1,"€ 335,000  335000 €",house,house,for sale,None,None,None,252,166,None,None
11633,As new,520,Hyper equipped,6,4,"€ 3,100,000  3100000 €",house,exceptional property,for sale,None,4,0.0,3400,None,0.0,None
11634,Good,150,Hyper equipped,3,1,"€ 570,000  570000 €",house,villa,for sale,None,4,0.0,706,None,None,1.0
11636,None,83,None,2,1,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",house,house,for sale,None,2,0.0,322,None,0.0,None
11637,As new,65,Installed,1,1,"€ 250,000  250000 €",apartment,apartment,for sale,Brussels,3,0.0,None,None,0.0,None
11639,As new,54,USA hyper equipped,1,1,"€ 180,000  180000 €",apartment,service flat,for sale,None,1,0.0,None,None,None,None
11641,Good,180,None,5,3,"€ 380,000  380000 €",house,apartment block,for sale,None,2,0.0,112,None,0.0,1.0
11642,Good,257,Installed,4,1,"Make an offer starting from  € 449,500  Make an offer starting from  449500 €",house,house,for sale,None,4,None,1042,837,None,None
11643,Good,169,Installed,4,1,"€ 290,000  290000 €",house,house,for sale,None,4,0.0,350,200,None,None
11644,As new,106,Semi equipped,3,2,"€ 340,000  340000 €",apartment,duplex,for sale,Bruxelles Est,3,0.0,None,None,0.0,None
11645,Just renovated,175,Installed,3,1,"Make an offer starting from  € 189,000  Make an offer starting from  189000 €",house,house,for sale,Liège environs,3,0.0,82,None,0.0,None
11646,As new,69,Hyper equipped,1,1,"€ 260,000  260000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11647,Good,70,Hyper equipped,1,1,"€ 285,000  285000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11650,Good,137,Installed,2,1,"Make an offer starting from  € 125,000  Make an offer starting from  125000 €",house,house,for sale,None,2,None,204,None,0.0,1.0
11651,To renovate,300,None,3,1,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",house,apartment block,for sale,None,3,0.0,99,None,None,None
11652,As new,61,Installed,2,1,"€ 199,000  199000 €",house,bungalow,for sale,None,None,None,147,None,0.0,1.0
11654,To be done up,76,None,2,1,"€ 285,000  285000 €",apartment,apartment,for sale,Bruxelles (19 communes),4,0.0,None,None,None,None
11656,Just renovated,434,USA installed,5,2,"€ 389,000  389000 €",house,house,for sale,None,4,0.0,1104,630,None,None
11657,As new,71,Hyper equipped,2,None,"€ 329,500  329500 €",apartment,duplex,for sale,None,None,0.0,None,None,0.0,1.0
11661,To be done up,200,Semi equipped,7,3,"Make an offer starting from  € 599,000  Make an offer starting from  599000 €",house,house,for sale,Bruxelles,2,0.0,65,None,0.0,None
11662,As new,250,Installed,5,3,"€ 549,000  549000 €",house,mansion,for sale,None,2,0.0,159,55,None,None
11665,As new,76,Hyper equipped,1,1,"€ 258,500  258500 €",apartment,ground floor,for sale,Gent en omstreken,4,0.0,None,None,0.0,None
11666,None,86,Hyper equipped,2,1,"€ 237,400  237400 €",apartment,apartment,for sale,Zone Centre Province du Luxembourg,None,0.0,None,None,0.0,None
11668,None,270,USA hyper equipped,3,3,"€ 1,790,000  1790000 €",house,villa,for sale,None,None,None,1060,690,1.0,None
11669,Good,62,Installed,1,1,"€ 180,000  180000 €",apartment,apartment,for sale,None,3,0.0,None,None,None,None
11672,As new,192,Hyper equipped,5,2,"€ 429,000  429000 €",house,house,for sale,None,2,None,203,65,None,None
11674,To be done up,126,Semi equipped,4,1,"€ 175,000  175000 €",house,house,for sale,None,2,None,678,None,None,None
11675,Just renovated,162,USA hyper equipped,4,1,"Make an offer starting from  € 329,000  Make an offer starting from  329000 €",house,house,for sale,None,3,0.0,376,250,0.0,None
11676,As new,145,Hyper equipped,3,1,"€ 350,000  350000 €",house,house,for sale,None,3,None,650,650,0.0,None
11677,To renovate,270,None,6,1,"€ 139,000  139000 €",house,house,for sale,None,4,None,700,700,None,None
11679,To renovate,90,Installed,2,1,"Make an offer starting from  € 144,900  Make an offer starting from  144900 €",house,house,for sale,Wallonne,2,0.0,242,188,0.0,None
11683,To renovate,94,None,2,2,"€ 1,600,000  1600000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,1.0
11684,Good,182,USA hyper equipped,4,1,"€ 399,000  399000 €",house,house,for sale,Oost- Vlaanderen,4,0.0,602,240,None,None
11687,To renovate,300,Not installed,4,3,"€ 1,950,000  1950000 €",house,house,for sale,None,2,None,213,50,0.0,None
11691,Good,110,Installed,2,1,"€ 199,000  199000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
11692,Just renovated,138,Hyper equipped,2,1,"€ 390,000  390000 €",apartment,loft,for sale,None,2,None,None,None,0.0,None
11693,None,206,Hyper equipped,5,4,"€ 6,950,000  6950000 €",apartment,apartment,for sale,None,3,None,None,None,0.0,1.0
11694,Good,1190,USA hyper equipped,6,5,"€ 1,950,000  1950000 €",house,villa,for sale,None,4,None,2018,1000,None,None
11695,To renovate,193,Semi equipped,3,1,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",house,house,for sale,None,4,None,1998,1680,None,1.0
11696,To be done up,203,Semi equipped,3,None,"€ 315,000  315000 €",house,house,for sale,None,3,0.0,733,None,None,1.0
11697,To be done up,151,Installed,4,2,"€ 495,000  495000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
11699,Good,400,Installed,8,4,"€ 790,000  790000 €",house,apartment block,for sale,None,2,None,525,None,None,None
11700,To be done up,176,Semi equipped,3,1,"€ 295,000  295000 €",house,house,for sale,None,3,0.0,1825,1690,None,None
11702,Good,85,Hyper equipped,2,1,"€ 395,000  395000 €",apartment,service flat,for sale,None,4,0.0,None,None,0.0,1.0
11703,As new,105,Installed,2,1,"€ 349,000  349000 €",apartment,penthouse,for sale,None,None,1.0,None,None,0.0,None
11704,As new,118,Hyper equipped,2,2,"€ 540,000  540000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
11705,To be done up,125,None,4,1,"€ 259,000  259000 €",house,house,for sale,None,1,None,45,None,0.0,None
11706,To renovate,370,None,5,1,"€ 990,000  990000 €",house,house,for sale,None,4,0.0,550,None,0.0,None
11708,To renovate,484,Not installed,8,3,"€ 997,000  997000 €",house,apartment block,for sale,None,2,0.0,251,None,None,None
11710,Just renovated,280,Hyper equipped,5,2,"€ 735,000  735000 €",house,villa,for sale,None,4,None,1200,None,None,1.0
11711,As new,392,Hyper equipped,5,2,"€ 1,295,000  1295000 €",house,house,for sale,None,4,None,2710,2000,0.0,None
11712,None,161,Installed,2,2,"€ 455,000  455000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
11714,To renovate,700,None,9,1,"€ 1,495,000  1495000 €",house,house,for sale,Diamant,2,None,1050,715,None,None
11715,None,125,Installed,3,1,"€ 469,000  469000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,None
11716,As new,98,Installed,2,1,"€ 414,000  414000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
11723,Good,220,Installed,5,3,"€ 590,000  590000 €",apartment,apartment,for sale,Liège,2,0.0,None,None,0.0,None
11725,Good,245,Installed,5,1,"€ 469,000  469000 €",house,house,for sale,None,2,None,153,83,None,None
11726,Good,150,Installed,3,1,"Make an offer starting from  € 300,000  Make an offer starting from  300000 €",house,villa,for sale,Brabant Wallon,4,None,1241,None,None,None
11727,Good,240,Installed,6,2,"€ 649,000  649000 €",house,house,for sale,None,4,None,17000,2400,None,None
11729,None,184,Semi equipped,2,1,"€ 199,000  199000 €",house,house,for sale,None,2,None,184,None,0.0,None
