,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
12902,Good,250,Installed,6,1,"Make an offer starting from  € 375,000  Make an offer starting from  375000 €",house,villa,for sale,None,3,None,2246,None,None,1.0
12903,To be done up,150,Semi equipped,1,1,"€ 349,000  349000 €",house,house,for sale,None,4,None,798,None,None,1.0
12904,Good,119,Installed,3,None,"€ 225,000  225000 €",house,house,for sale,None,None,0.0,157,None,None,1.0
12906,Just renovated,356,USA hyper equipped,7,6,"€ 599,000  599000 €",house,house,for sale,None,2,None,250,None,None,None
12907,As new,75,USA installed,2,1,"€ 699,000  699000 €",apartment,ground floor,for sale,Knokke Centrum,4,0.0,None,45,0.0,None
12908,To be done up,127,Semi equipped,3,1,"Make an offer starting from  € 155,000  Make an offer starting from  155000 €",house,house,for sale,None,3,0.0,300,200,0.0,None
12910,To be done up,60,Semi equipped,1,1,"€ 135,000  135000 €",apartment,apartment,for sale,Liège centre,2,0.0,None,None,0.0,None
12911,As new,125,Installed,2,1,"€ 545,000  545000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12912,As new,260,Installed,4,1,"€ 629,000  629000 €",house,villa,for sale,None,4,0.0,1438,None,0.0,None
12913,Good,131,Hyper equipped,4,2,"€ 995,000  995000 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,None
12916,Good,162,Semi equipped,4,3,"€ 239,000  239000 €",house,apartment block,for sale,Liège,2,0.0,190,None,0.0,None
12919,As new,720,USA hyper equipped,4,4,"€ 1,316,690  1316690 €",house,villa,for sale,None,4,0.0,1236,1000,1.0,None
12922,To renovate,260,None,4,1,"€ 320,000  320000 €",house,house,for sale,None,4,None,1659,None,0.0,None
12923,Good,203,Installed,5,2,"Make an offer starting from  € 169,000  Make an offer starting from  169000 €",house,house,for sale,None,2,0.0,100,None,0.0,None
12927,Good,100,Installed,2,1,"€ 219,000  219000 €",house,house,for sale,None,None,0.0,57,None,0.0,None
12929,Good,190,Semi equipped,4,1,"€ 549,000  549000 €",house,house,for sale,None,3,None,4448,2800,None,None
12934,As new,65,USA hyper equipped,1,1,"€ 415,000  415000 €",apartment,apartment,for sale,Projets Bruxelles Sud,2,0.0,None,None,0.0,None
12935,As new,205,USA hyper equipped,3,2,"€ 895,000  895000 €",apartment,penthouse,for sale,Est de Bruxelles + VL,None,0.0,None,None,0.0,None
12936,Good,315,Hyper equipped,6,2,"€ 725,000  725000 €",house,villa,for sale,Chaussée notre Dame Louvignies,4,0.0,1588,None,None,1.0
12938,Good,163,Semi equipped,3,1,"€ 325,000  325000 €",house,house,for sale,Denderleeuw en deelgemeenten,2,0.0,118,None,0.0,None
12939,To be done up,178,Not installed,5,1,"Make an offer starting from  € 159,000  Make an offer starting from  159000 €",house,mixed use building,for sale,None,2,0.0,60,None,None,None
12943,Good,175,None,3,2,"€ 595,000  595000 €",house,house,for sale,None,2,0.0,None,17,None,None
12944,Good,118,Hyper equipped,2,1,"€ 325,000  325000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
12945,Good,169,Semi equipped,4,1,"€ 325,000  325000 €",house,house,for sale,None,3,None,183,None,None,1.0
12950,Good,84,Not installed,1,1,"€ 269,000  269000 €",apartment,apartment,for sale,BXL Sud,2,0.0,None,None,0.0,None
12952,Good,151,Installed,4,1,"€ 425,000  425000 €",house,house,for sale,None,2,None,None,20,None,1.0
12955,Good,171,Installed,2,None,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,house,for sale,Hannut,3,0.0,527,150,0.0,None
12957,Good,170,Hyper equipped,3,1,"€ 525,000  525000 €",house,house,for sale,None,2,None,104,None,None,None
12958,As new,40,Installed,None,1,"€ 195,000  195000 €",apartment,flat studio,for sale,None,2,0.0,None,None,0.0,None
12959,Good,183,Installed,4,1,"€ 359,000  359000 €",house,house,for sale,None,3,0.0,171,50,0.0,None
12962,As new,82,Installed,2,2,"€ 895,000  895000 €",apartment,apartment,for sale,None,4,None,None,45,0.0,None
12963,To be done up,220,Semi equipped,3,1,"Make an offer starting from  € 185,000  Make an offer starting from  185000 €",house,house,for sale,None,4,None,520,258,None,None
