,Property ID,Neighbourhood or locality,Type of building,Construction year,Price,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Elevator,Basement,Building condition,Monthly charges,Cadastral income,Primary energy consumption,CO₂ emission,Energy class,Heating type
255,10579545,None,None,1956," 400,000",5,140  m² square meters,None,No,None,None,None,Yes,None,154  m²  square meters,None,None,None,Yes,None,None,None,140  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
256,10579544,None,None,None," 295,000",2,106  m² square meters,None,No,None,None,None,None,None,None,None,No,Yes,None,To renovate,None,None,225  kWh/m²  kilowatt hour per square meters,Not specified,C,None
257,10579543,Brabant Wallon,None,None," 395,000",4,185  m² square meters,Installed,No,None,None,35  m²  square meters,None,None,100  m²  square meters,3,None,None,Yes,None,None, 575,333  kWh/m²  kilowatt hour per square meters,Not specified,D,Fuel oil
258,10579542,Bruxelles,None,1936," 210,000",1,50  m² square meters,USA installed,None,None,None,None,None,None,None,2,No,Yes,None,Just renovated,None,None,178  kWh/m²  kilowatt hour per square meters,35 kg CO₂/m²,D,Gas
259,10579541,None,None,None," 79,000",2,140  m² square meters,Semi equipped,No,None,None,None,None,None,None,4,None,None,Yes,To be done up,None, 401,711  kWh/m²  kilowatt hour per square meters,Not specified,G,Fuel oil
260,10579540,None,None,None," 99,000",2,100  m² square meters,Semi equipped,No,None,None,None,None,None,None,3,None,None,None,To renovate,None, 505,698  kWh/m²  kilowatt hour per square meters,Not specified,G,Fuel oil
261,10579539,None,None,None," 135,000",2,111  m² square meters,Semi equipped,No,None,None,None,None,None,None,3,None,None,Yes,To renovate,None, 339,389  kWh/m²  kilowatt hour per square meters,Not specified,E,None
262,10579538,None,None,None," 99,000",3,132  m² square meters,Installed,No,None,Yes,None,None,None,None,None,None,None,Yes,To be done up,None, 991,380  kWh/m²  kilowatt hour per square meters,Not specified,E,None
263,10579537,None,None,1955," 279,500",3,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Just renovated,None,None,215  kWh/m²  kilowatt hour per square meters,Not specified,C,None
264,10181067,None,None,None," 400,000",5,190  m² square meters,Not installed,No,None,None,50  m²  square meters,Yes,None,1730  m²  square meters,None,None,None,None,None,None,None,167  kWh/m²  kilowatt hour per square meters,Not specified,B,None
265,10579536,None,None,2005," 2,600,000",5,500  m² square meters,None,No,1,None,None,None,None,11050  m²  square meters,4,Yes,Yes,None,As new,None," 5,993",337  kWh/m²  kilowatt hour per square meters,11 kg CO₂/m²,D,Fuel oil
266,10579534,None,None,1906," 1,225,000",3,410  m² square meters,Hyper equipped,No,None,None,25  m²  square meters,None,20  m²  square meters,110  m²  square meters,3,No,Yes,Yes,To renovate,None,None,Not specified,Not specified,Not specified,Gas
267,10579528,None,All kind,1981," 790,000",6,None,None,None,None,None,None,Yes,None,1817  m²  square meters,None,None,None,None,To renovate,None," 1,576",392  kWh/m²  kilowatt hour per square meters,Not specified,D,None
268,10579527,None,None,None," 174,500",1,65  m² square meters,None,None,None,None,None,None,None,None,None,None,None,None,As new,None,None,212  kWh/m²  kilowatt hour per square meters,Not specified,C,None
269,10579525,None,None,1938," 475,000",7,290  m² square meters,Installed,No,None,None,None,None,None,408  m²  square meters,3,None,None,None,As new,None,None,200  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
270,10579524,None,None,None," 382,500",4,190  m² square meters,Hyper equipped,No,None,None,None,None,None,None,2,No,No,None,As new,None,None,134  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
271,10579520,None,None,1979," 192,000",2,106  m² square meters,Hyper equipped,No,None,None,None,None,None,None,2,No,No,None,Good,None,None,339  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
272,10579517,None,None,1938," 275,000",5,200  m² square meters,None,No,None,Yes,None,None,None,474  m²  square meters,3,No,No,Yes,To be done up,None,None,302  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
273,10579516,None,None,1918," 355,000",4,135  m² square meters,None,No,None,None,None,None,None,70  m²  square meters,2,No,No,None,None,None," 1,086",335  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
274,10579515,None,None,2011," 417,500",3,159  m² square meters,None,No,None,None,None,None,None,547  m²  square meters,3,No,No,None,Good,None," 1,085",137  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
275,10579513,None,None,None," 348,000",1,106  m² square meters,None,No,None,None,None,Yes,None,None,2,No,Yes,None,As new,None," 1,025",68  kWh/m²  kilowatt hour per square meters,1289 kg CO₂/m²,A,Gas
276,10579512,None,None,None," 115,000",1,106  m² square meters,None,No,None,None,None,Yes,None,975  m²  square meters,3,None,None,None,None,None, 208,1450  kWh/m²  kilowatt hour per square meters,20435 kg CO₂/m²,F,Fuel oil
277,10579511,None,All kind,None," 325,000",3,262  m² square meters,None,No,None,Yes,None,Yes,None,1080  m²  square meters,None,No,No,None,None,None,None,572  kWh/m²  kilowatt hour per square meters,25675 kg CO₂/m²,F,Gas
278,10495863,None,None,1996," 265,000",2,106  m² square meters,Installed,No,None,None,None,None,None,None,4,No,Yes,None,Good,None," 1,461",118  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
279,10455439,Liège environs,None,1899," 274,000",1,169  m² square meters,Not installed,No,None,None,None,None,None,44  m²  square meters,2,No,No,Yes,To be done up,None," 1,090",212  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,C,Gas
280,10511069,Est de Bruxelles + VL,None,2015," 275,000",1,50  m² square meters,USA hyper equipped,No,None,None,7  m²  square meters,None,None,None,None,No,Yes,Yes,As new,None," 1,267",130  kWh/m²  kilowatt hour per square meters,25 kg CO₂/m²,C,Gas
281,10473354,None,None,1997," 279,000",2,107  m² square meters,Semi equipped,None,None,None,12  m²  square meters,None,230  m²  square meters,479  m²  square meters,4,None,None,Yes,Good,None, 699,624  kWh/m²  kilowatt hour per square meters,154 kg CO₂/m²,G,Fuel oil
282,10442731,None,None,1970," 295,000",4,278  m² square meters,USA installed,No,None,Yes,None,None,950  m²  square meters,950  m²  square meters,4,None,None,None,Good,None, 989,249  kWh/m²  kilowatt hour per square meters,46 kg CO₂/m²,C,Fuel oil
283,10579509,None,All kind,None," 325,000",3,262  m² square meters,None,No,None,Yes,None,Yes,None,1080  m²  square meters,None,No,No,None,None,None,None,572  kWh/m²  kilowatt hour per square meters,25675 kg CO₂/m²,F,Gas
284,10579508,None,All kind,1977," 339,000",3,119  m² square meters,None,No,None,None,None,Yes,None,1080  m²  square meters,4,No,No,None,To renovate,None," 1,164",672  kWh/m²  kilowatt hour per square meters,20982 kg CO₂/m²,F,Fuel oil
285,10579505,None,None,1992," 659,000",3,None,Installed,No,None,None,20  m²  square meters,None,None,2491  m²  square meters,4,No,No,None,Good,None," 1,645",318  kWh/m²  kilowatt hour per square meters,Not specified,D,Fuel oil
286,10579496,None,All kind,1998," 695,000",4,277  m² square meters,None,No,None,None,None,Yes,None,7258  m²  square meters,None,No,No,None,None,None," 1,058",224  kWh/m²  kilowatt hour per square meters,Not specified,C,Electric
287,10579495,None,None,1949," 325,000",3,269  m² square meters,None,No,None,None,None,None,None,657  m²  square meters,None,No,No,Yes,None,None, 679,652  kWh/m²  kilowatt hour per square meters,19894 kg CO₂/m²,F,None
288,10579494,None,None,2003," 167,000",1,51  m² square meters,None,No,None,None,18  m²  square meters,Yes,None,None,None,No,Yes,None,Good,None, 528,128  kWh/m²  kilowatt hour per square meters,1297 kg CO₂/m²,B,None
289,10579489,None,All kind,1977," 549,000",3,188  m² square meters,None,No,None,None,None,None,None,594  m²  square meters,None,No,No,None,To renovate,None," 1,722",594  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
290,10579488,None,None,1973," 149,000",2,48  m² square meters,None,Yes,None,Yes,None,None,None,56  m²  square meters,None,No,No,None,As new, 35, 446,1140  kWh/m²  kilowatt hour per square meters,Not specified,F,Electric
291,10579486,None,All kind,2008," 285,000",2,90  m² square meters,Installed,No,None,None,6  m²  square meters,Yes,None,None,None,No,No,None,As new,None, 837,147  kWh/m²  kilowatt hour per square meters,Not specified,B,None
292,10579483,None,None,None," 295,000",4,170  m² square meters,None,None,None,None,None,None,None,281  m²  square meters,None,No,No,None,To renovate,None," 1,070",394  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
293,10579476,None,None,1918," 749,000",5,225  m² square meters,Hyper equipped,No,None,None,9  m²  square meters,None,71  m²  square meters,150  m²  square meters,2,None,None,Yes,To renovate,None," 1,166",389  kWh/m²  kilowatt hour per square meters,205 kg CO₂/m²,G,Gas
294,10414125,None,None,None," 450,000",6,224  m² square meters,Installed,No,None,Yes,None,None,None,600  m²  square meters,None,None,None,None,Good,None," 1,517",301  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
295,10453569,None,None,None," 699,000",3,248  m² square meters,Installed,No,None,Yes,None,Yes,None,2045  m²  square meters,None,None,None,None,Good,None," 1,995",415  kWh/m²  kilowatt hour per square meters,Not specified,E,None
296,10579441,None,None,None," 160,000",1,60  m² square meters,None,No,None,None,6  m²  square meters,None,None,None,4,No,Yes,Yes,Just renovated,None, 993,Not specified,Not specified,Not specified,Gas
297,10579438,None,None,2021," 379,000",4,100  m² square meters,None,No,None,None,None,None,None,665  m²  square meters,4,None,None,None,None,None, 849,Not specified,Not specified,Not specified,Gas
298,10579437,None,None,1968," 319,000",3,234  m² square meters,Installed,No,None,None,20  m²  square meters,None,60  m²  square meters,190  m²  square meters,2,None,None,None,Good,None," 1,187",276  kWh/m²  kilowatt hour per square meters,Not specified,C,Fuel oil
299,10579436,None,None,1977," 325,000",3,180  m² square meters,Installed,No,None,None,15  m²  square meters,None,None,None,2,No,Yes,None,As new,None," 1,732",139  kWh/m²  kilowatt hour per square meters,Not specified,B,None
300,10579435,None,None,1998," 389,000",3,240  m² square meters,Installed,No,None,None,27  m²  square meters,None,362  m²  square meters,553  m²  square meters,4,None,None,None,Good,None, 932,288  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
301,10579434,None,None,None," 1,449,000",5,260  m² square meters,Hyper equipped,Yes,None,Yes,None,None,None,69  m²  square meters,2,None,None,None,As new,None," 2,639",403  kWh/m²  kilowatt hour per square meters,81 kg CO₂/m²,G,Gas
302,10514334,Famenne - Ardennes,None,None," 235,000",3,100  m² square meters,Semi equipped,None,None,None,20  m²  square meters,None,1700  m²  square meters,1801  m²  square meters,4,None,None,None,Just renovated,None,None,242  kWh/m²  kilowatt hour per square meters,50 kg CO₂/m²,C,Gas
303,10579431,None,None,1949," 1,295,000",5,331  m² square meters,Installed,No,None,None,56  m²  square meters,None,287  m²  square meters,382  m²  square meters,2,None,None,None,Good,None," 4,001",261  kWh/m²  kilowatt hour per square meters,55 kg CO₂/m²,E,Gas
304,10579430,None,None,1942," 1,400,000",5,450  m² square meters,Installed,No,1,None,None,None,1642  m²  square meters,1642  m²  square meters,4,None,None,Yes,None,None," 8,691",Not specified,Not specified,Not specified,Gas
305,10579427,None,None,None," 249,000",2,104  m² square meters,Installed,No,None,None,None,None,None,95  m²  square meters,3,None,None,None,Good,None, 252,273  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
306,10579426,None,None,1876," 569,000",4,203  m² square meters,Installed,No,None,Yes,None,None,None,100  m²  square meters,2,None,None,None,Good,None, 728,328  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
307,10579425,None,None,None," 363,086",2,104  m² square meters,Installed,No,None,None,24  m²  square meters,None,None,None,2,No,Yes,None,As new,None,None,Not specified,Not specified,Not specified,None
308,10579424,None,None,None," 297,000",3,110  m² square meters,Installed,No,None,Yes,None,None,None,88  m²  square meters,2,None,None,None,Good,None, 302,296  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
309,10495493,None,None,2011," 200,000",2,73  m² square meters,None,No,None,None,4  m²  square meters,None,None,None,4,No,Yes,None,Good, 92," 1,136",228  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
310,10579421,None,None,2017," 209,000",2,38  m² square meters,Installed,Yes,None,None,None,None,None,None,4,No,Yes,None,Good,None,None,Not specified,Not specified,Not specified,None
311,10579418,None,None,1960," 495,000",3,135  m² square meters,Installed,None,None,None,6  m²  square meters,None,None,None,2,None,Yes,Yes,As new,None,None,104  kWh/m²  kilowatt hour per square meters,104 kg CO₂/m²,C,Gas
312,10579414,None,None,None," 299,000",5,248  m² square meters,Installed,None,None,Yes,None,Yes,None,236  m²  square meters,None,No,No,Yes,To be done up,None,None,674  kWh/m²  kilowatt hour per square meters,Not specified,F,Electric
313,10084275,Bruxelles Nord,None,2012," 299,000",2,85  m² square meters,USA installed,No,None,None,12  m²  square meters,None,None,None,3,No,No,Yes,As new,None," 1,097",227  kWh/m²  kilowatt hour per square meters,45 kg CO₂/m²,E,Gas
314,10077863,Bruxelles Nord,None,2012," 299,000",2,85  m² square meters,USA installed,No,None,None,12  m²  square meters,None,None,None,3,No,No,Yes,As new,None," 1,097",227  kWh/m²  kilowatt hour per square meters,45 kg CO₂/m²,E,Gas
315,10304070,Liège environs,None,1874," 299,000",4,239  m² square meters,Not installed,No,None,None,None,None,None,108  m²  square meters,2,No,No,Yes,Good,None, 654,180  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,C,Gas
316,10522623,None,None,2013," 299,000",2,115  m² square meters,Installed,None,None,None,19  m²  square meters,None,None,None,2,None,Yes,None,Good,None," 1,014",128  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
317,10448516,None,None,2005," 305,000",2,102  m² square meters,Installed,None,None,Yes,None,None,None,None,2,None,Yes,Yes,Good,None," 1,024",140  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
318,10547112,None,None,2003," 335,000",2,104  m² square meters,Semi equipped,None,None,None,None,None,None,None,2,None,Yes,None,Good,None, 856,156  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
319,9524106,Bruxelles Est,None,1999," 340,000",3,106  m² square meters,Semi equipped,No,None,None,14  m²  square meters,None,None,None,3,No,Yes,None,As new,None," 1,539",273  kWh/m²  kilowatt hour per square meters,22 kg CO₂/m²,E,Gas
320,10539238,None,None,1930," 345,000",4,190  m² square meters,Installed,None,None,None,None,None,88  m²  square meters,156  m²  square meters,2,No,No,None,As new,None, 674,221  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
321,10579413,None,None,1998," 248,000",2,130  m² square meters,Installed,None,None,Yes,None,Yes,None,None,None,None,None,None,As new,None," 1,085",387  kWh/m²  kilowatt hour per square meters,Not specified,D,Electric
322,10579409,Cinquantenaire,None,None," 845,000",2,186  m² square meters,None,None,None,None,3  m²  square meters,None,None,None,2,None,Yes,Yes,To be done up, 700," 3,227",174  kWh/m²  kilowatt hour per square meters,44 kg CO₂/m²,D,Gas
323,10579408,None,None,None," 1,500,000",3,240  m² square meters,Installed,None,None,Yes,None,None,2000  m²  square meters,4000  m²  square meters,4,None,None,Yes,None,None,None,556  kWh/m²  kilowatt hour per square meters,Not specified,F,None
324,10579407,None,None,None," 370,000",2,100  m² square meters,Hyper equipped,None,None,None,None,None,None,None,2,None,Yes,None,None,None," 1,628",171  kWh/m²  kilowatt hour per square meters,44 kg CO₂/m²,D,Fuel oil
325,10579405,None,None,None," 160,000",2,120  m² square meters,None,No,None,None,None,None,302  m²  square meters,302  m²  square meters,3,No,No,None,To renovate,None,None,Not specified,Not specified,Not specified,None
326,10579399,None,None,None," 385,000",3,120  m² square meters,Hyper equipped,No,None,None,98  m²  square meters,None,320  m²  square meters,560  m²  square meters,3,Yes,No,Yes,Good,None, 956,243  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
327,10579398,None,None,2007," 359,900",4,200  m² square meters,Hyper equipped,No,None,None,85  m²  square meters,None,300  m²  square meters,622  m²  square meters,3,Yes,No,None,Good,None," 1,115",Not specified,Not specified,Not specified,Gas
328,10579397,None,None,1970," 260,000",2,80  m² square meters,Installed,No,None,None,16  m²  square meters,None,None,None,2,No,Yes,Yes,Good,None," 1,321",92  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
329,10579395,None,None,None," 875,000",5,260  m² square meters,None,No,None,None,None,None,None,6347  m²  square meters,4,No,No,None,None,None,None,173  kWh/m²  kilowatt hour per square meters,Not specified,C,Fuel oil
330,10579386,None,None,2012," 815,000",3,153  m² square meters,None,None,None,None,100  m²  square meters,None,None,None,None,No,Yes,None,As new,None,None,139  kWh/m²  kilowatt hour per square meters,Not specified,B,None
331,10579380,WAIMES,None,None," 525,000",7,266  m² square meters,Installed,Yes,None,None,45  m²  square meters,None,1400  m²  square meters,2049  m²  square meters,4,None,No,None,Good,None, 966,290  kWh/m²  kilowatt hour per square meters,1495 kg CO₂/m²,D,None
332,10579379,VERVIERS,None,None," 239,000",5,183  m² square meters,Installed,No,None,None,None,None,None,148  m²  square meters,3,None,No,Yes,Good,None, 775,335  kWh/m²  kilowatt hour per square meters,62 kg CO₂/m²,D,Gas
333,10579378,LIEGE,None,None," 199,000",6,180  m² square meters,Installed,No,None,None,33  m²  square meters,None,None,85  m²  square meters,3,None,No,None,To renovate,None, 872,177  kWh/m²  kilowatt hour per square meters,33 kg CO₂/m²,C,None
334,10579377,VERVIERS,None,None," 174,000",5,200  m² square meters,Installed,No,None,None,35  m²  square meters,None,250  m²  square meters,358  m²  square meters,3,None,No,None,Good,None, 837,288  kWh/m²  kilowatt hour per square meters,82 kg CO₂/m²,D,None
335,10579376,WAIMES,None,None," 840,000",5,478  m² square meters,Installed,Yes,None,None,90  m²  square meters,None,1200  m²  square meters,1579  m²  square meters,4,No,No,None,Good,None," 1,115",274  kWh/m²  kilowatt hour per square meters,Not specified,D,None
336,10579375,WAIMES,None,1968," 335,000",5,189  m² square meters,Installed,No,None,Yes,None,None,700  m²  square meters,822  m²  square meters,4,None,None,Yes,Good,None," 1,000",304  kWh/m²  kilowatt hour per square meters,63 kg CO₂/m²,D,Gas
337,10579374,None,None,None," 1,350,000",3,200  m² square meters,Installed,None,None,Yes,None,None,None,5610  m²  square meters,4,Yes,None,Yes,Good,None,None,212  kWh/m²  kilowatt hour per square meters,Not specified,C,None
338,10579372,VERVIERS,None,None," 475,000",5,215  m² square meters,Installed,No,None,None,90  m²  square meters,None,1340  m²  square meters,1491  m²  square meters,4,Yes,No,Yes,Good,None," 1,184",349  kWh/m²  kilowatt hour per square meters,Not specified,E,Fuel oil
339,10579371,VERVIERS,None,None," 225,000",4,210  m² square meters,Installed,No,None,None,None,None,50  m²  square meters,125  m²  square meters,2,None,None,None,To renovate,None,None,191  kWh/m²  kilowatt hour per square meters,35 kg CO₂/m²,C,Gas
340,10579369,VERVIERS,None,1990," 399,000",3,160  m² square meters,Installed,Yes,None,Yes,None,None,500  m²  square meters,620  m²  square meters,4,None,None,None,As new,None," 1,050",273  kWh/m²  kilowatt hour per square meters,43 kg CO₂/m²,D,None
341,10579368,None,None,1977," 235,000",1,80  m² square meters,Installed,None,None,None,14  m²  square meters,None,None,None,2,None,Yes,Yes,Good, 115,None,146  kWh/m²  kilowatt hour per square meters,29 kg CO₂/m²,C,None
342,10579363,None,None,1980," 539,000",4,245  m² square meters,Installed,No,None,None,7  m²  square meters,None,None,800  m²  square meters,4,None,None,None,Good,None," 1,229",298  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
343,10579362,None,None,1961," 192,000",1,65  m² square meters,Installed,No,None,None,6  m²  square meters,None,None,None,2,None,None,None,Good,None, 441,698  kWh/m²  kilowatt hour per square meters,Not specified,F,None
344,10579356,None,None,1940," 1,875,000",4,179  m² square meters,Semi equipped,None,None,None,None,Yes,None,2255  m²  square meters,2,None,None,Yes,To renovate,None,None,901  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
345,10579355,None,None,1940," 1,875,000",4,179  m² square meters,Semi equipped,None,None,None,None,Yes,None,None,2,None,None,Yes,To renovate,None,None,901  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
346,10579353,None,None,1964," 769,000",6,254  m² square meters,Semi equipped,No,None,None,21  m²  square meters,Yes,None,287  m²  square meters,3,None,None,Yes,Good,None," 2,413",306  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
347,10579352,None,None,1940," 1,875,000",4,179  m² square meters,Semi equipped,No,None,None,None,Yes,None,2255  m²  square meters,2,None,None,Yes,To renovate,None,None,901  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
348,10579345,None,None,1915," 749,000",7,250  m² square meters,Semi equipped,None,None,None,9  m²  square meters,None,30  m²  square meters,111  m²  square meters,2,None,None,Yes,To be done up,None," 1,703",295  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
349,10579342,None,None,1910," 580,000",5,225  m² square meters,Installed,None,None,None,20  m²  square meters,Yes,None,1425  m²  square meters,4,Yes,None,Yes,To be done up,None," 1,021",419  kWh/m²  kilowatt hour per square meters,103 kg CO₂/m²,E,Fuel oil
350,9650026,Bruxelles Est,None,1956," 349,500",2,119  m² square meters,USA semi equipped,No,None,None,6  m²  square meters,None,None,None,2,No,No,Yes,Good,None, 685,648  kWh/m²  kilowatt hour per square meters,129 kg CO₂/m²,G,Gas
351,10354212,Liège environs,None,1874," 374,000",7,204  m² square meters,Semi equipped,Yes,None,None,None,None,None,61  m²  square meters,2,No,No,Yes,Good, 85," 2,080",170  kWh/m²  kilowatt hour per square meters,33 kg CO₂/m²,B,Gas
352,10544783,Oost-Vlaanderen,None,2008," 379,000",4,129  m² square meters,Installed,None,None,None,8  m²  square meters,None,None,None,3,No,Yes,None,As new,None," 1,481",102  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
353,9502823,Bruxelles Est,None,1970," 385,000",2,100  m² square meters,USA hyper equipped,No,None,None,None,None,None,None,2,No,No,Yes,As new,None, 634,223  kWh/m²  kilowatt hour per square meters,48 kg CO₂/m²,E,Gas
354,10441947,Bruxelles (19 communes),None,2005," 385,000",3,114  m² square meters,Hyper equipped,No,None,None,8  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None," 2,173",193  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,D,Gas
355,10405145,Bruxelles (19 communes),None,2005," 385,000",2,114  m² square meters,Hyper equipped,No,None,None,8  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None," 2,173",193  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,D,Gas
356,10531194,None,None,1965," 385,000",3,157  m² square meters,Installed,None,None,Yes,None,None,None,227  m²  square meters,3,No,No,None,Good,None," 1,063",352  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
357,10449074,None,None,1992," 390,000",3,190  m² square meters,Installed,None,None,None,20  m²  square meters,None,60  m²  square meters,373  m²  square meters,3,None,None,None,To be done up,None," 1,279",372  kWh/m²  kilowatt hour per square meters,Not specified,D,Electric
358,10472401,Est de Bruxelles + VL,None,1976," 399,000",3,120  m² square meters,Hyper equipped,No,None,None,43  m²  square meters,None,None,None,None,No,Yes,Yes,Good,None," 1,732",151  kWh/m²  kilowatt hour per square meters,111 kg CO₂/m²,D,Gas
359,10315582,None,All kind,2018," 400,000",3,116  m² square meters,USA hyper equipped,None,None,None,11  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None," 1,016",46  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
360,10523107,None,None,2013," 400,000",3,123  m² square meters,Hyper equipped,None,None,None,6  m²  square meters,None,None,None,2,None,Yes,Yes,Good,None," 1,293",131  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
361,10498637,Vlaams-Brabant Noorden,None,1967," 420,000",3,150  m² square meters,Semi equipped,No,None,None,21  m²  square meters,None,200  m²  square meters,264  m²  square meters,3,No,No,None,Good,None," 1,068",239  kWh/m²  kilowatt hour per square meters,6 kg CO₂/m²,C,Gas
362,10579341,None,None,1946," 385,000",2,150  m² square meters,Installed,None,None,None,None,None,None,278  m²  square meters,2,None,None,Yes,As new,None, 490,187  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
363,10579336,None,None,None," 669,000",4,250  m² square meters,Installed,None,None,None,15  m²  square meters,None,None,110  m²  square meters,2,None,None,None,Good,None,None,Not specified,Not specified,Not specified,Gas
364,10579331,None,None,None," 1,299,000",8,500  m² square meters,Installed,None,None,None,None,None,None,140  m²  square meters,2,None,Yes,Yes,Good,None,None,Not specified,Not specified,Not specified,Gas
365,10579326,None,None,1973," 525,000",2,275  m² square meters,Semi equipped,None,None,None,None,None,None,2250  m²  square meters,4,None,None,None,To be done up,None, 882,376  kWh/m²  kilowatt hour per square meters,Not specified,D,Fuel oil
366,10579325,None,None,None," 290,000",3,None,Semi equipped,None,None,None,None,None,None,100  m²  square meters,3,None,None,Yes,Good,None, 342,328  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
367,10579324,None,None,None," 229,000",1,63  m² square meters,Installed,None,None,None,18  m²  square meters,None,80  m²  square meters,None,None,None,None,None,None,None,None,Not specified,Not specified,Not specified,Gas
368,10579320,None,None,2023," 415,000",2,96  m² square meters,Installed,None,None,Yes,None,Yes,None,None,3,None,Yes,None,None,None,None,Not specified,Not specified,Not specified,Gas
369,10579315,None,None,None," 460,000",4,185  m² square meters,None,No,None,None,None,None,None,227  m²  square meters,2,None,None,None,Good,None, 624,299  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
370,10579299,None,None,1907," 850,000",5,350  m² square meters,USA installed,None,None,None,None,None,None,95  m²  square meters,2,None,None,Yes,Good,None,None,Not specified,Not specified,Not specified,Gas
371,10579290,None,None,2009," 1,745,000",5,201  m² square meters,None,No,None,None,17  m²  square meters,None,None,None,2,No,Yes,None,Good,None,None,115  kWh/m²  kilowatt hour per square meters,Not specified,B,None
372,10579289,None,None,1975," 235,000",3,91  m² square meters,Hyper equipped,No,None,None,None,None,None,689  m²  square meters,4,No,No,None,To be done up,None,None,541  kWh/m²  kilowatt hour per square meters,Not specified,F,Fuel oil
373,10579288,None,None,2010," 239,000",2,72  m² square meters,Installed,Yes,None,Yes,None,None,None,None,None,None,Yes,None,Good,None, 826,164  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
374,10579282,Knokke Centrum,None,2002," 460,000",2,72  m² square meters,USA hyper equipped,No,None,None,3  m²  square meters,None,None,None,2,No,Yes,Yes,To be done up,None,None,159  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
375,10579278,None,None,1899," 385,000",3,290  m² square meters,None,No,None,Yes,None,None,None,530  m²  square meters,3,None,None,None,Good,None, 656,397  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
376,10579272,None,None,None," 105,000",2,None,Not installed,No,None,None,None,None,None,240  m²  square meters,2,None,None,Yes,To renovate,None,None,422  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
377,10579268,None,None,None," 210,000",4,168  m² square meters,Installed,No,None,None,12  m²  square meters,None,120  m²  square meters,195  m²  square meters,2,None,None,None,As new,None, 835,206  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
378,10579265,None,None,1918," 340,000",6,230  m² square meters,None,No,None,None,None,None,None,150  m²  square meters,2,None,None,Yes,Good,None, 813,365  kWh/m²  kilowatt hour per square meters,Not specified,D,Fuel oil
379,10579264,None,None,None," 299,000",5,218  m² square meters,Installed,None,None,None,30  m²  square meters,None,150  m²  square meters,225  m²  square meters,2,None,None,None,Good, 150, 837,332  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
380,10579262,Brugge Sint-Kruis,None,1963," 675,000",5,251  m² square meters,Semi equipped,No,None,None,70  m²  square meters,None,None,1226  m²  square meters,4,No,No,None,To renovate,None,None,543  kWh/m²  kilowatt hour per square meters,543 kg CO₂/m²,F,Gas
